endures	NotreDame_De_Paris.txt 1, Miserables.txt 1
enduring	NotreDame_De_Paris.txt 1, Miserables.txt 1
enemies	NotreDame_De_Paris.txt 3, Miserables.txt 6
enemy	NotreDame_De_Paris.txt 4, Miserables.txt 26
energetic	Miserables.txt 15
energetically	NotreDame_De_Paris.txt 2, Miserables.txt 7
energia	NotreDame_De_Paris.txt 1
energies	Miserables.txt 1
energy	NotreDame_De_Paris.txt 1, Miserables.txt 8
enervated	NotreDame_De_Paris.txt 1
enervation	Miserables.txt 1
enfants	NotreDame_De_Paris.txt 1, Miserables.txt 3
enfeebled	Miserables.txt 2
enfeeblement	Miserables.txt 1
enfeoffed	NotreDame_De_Paris.txt 1
enfer	NotreDame_De_Paris.txt 1, Miserables.txt 3
enforce	Miserables.txt 1
enforced	Miserables.txt 3
engage	Miserables.txt 5
engaged	NotreDame_De_Paris.txt 9, Miserables.txt 45
engagement	Miserables.txt 5
engagements	Miserables.txt 3
engages	Miserables.txt 1
engaging	NotreDame_De_Paris.txt 1
engendered	Miserables.txt 4
engendering	Miserables.txt 1
engenders	Miserables.txt 4
enghien	Miserables.txt 2
engine	Miserables.txt 4
engineer	Miserables.txt 3
engines	Miserables.txt 2
england	NotreDame_De_Paris.txt 4, Miserables.txt 60
english	NotreDame_De_Paris.txt 10, Miserables.txt 128
englishman	Miserables.txt 4
englishmen	Miserables.txt 1
englishwoman	Miserables.txt 1
engrafted	Miserables.txt 1
engrafting	NotreDame_De_Paris.txt 1, Miserables.txt 2
engraved	NotreDame_De_Paris.txt 7, Miserables.txt 5
engraver	Miserables.txt 1
engraving	NotreDame_De_Paris.txt 1, Miserables.txt 2
engravings	NotreDame_De_Paris.txt 2, Miserables.txt 2
engross	Miserables.txt 1
engrossed	NotreDame_De_Paris.txt 2, Miserables.txt 2
enguerrand	NotreDame_De_Paris.txt 1
engulf	Miserables.txt 1
engulfed	NotreDame_De_Paris.txt 2, Miserables.txt 17
engulfment	Miserables.txt 5
engulfs	Miserables.txt 1
enhanced	Miserables.txt 2
enigma	NotreDame_De_Paris.txt 1, Miserables.txt 24
enigmas	Miserables.txt 6
enigmatic	NotreDame_De_Paris.txt 1, Miserables.txt 2
enigmatical	NotreDame_De_Paris.txt 1, Miserables.txt 13
enim	NotreDame_De_Paris.txt 3
enjoin	Miserables.txt 3
enjoined	NotreDame_De_Paris.txt 2, Miserables.txt 5
enjoining	Miserables.txt 1
enjolras	Miserables.txt 256
enjoy	NotreDame_De_Paris.txt 1, Miserables.txt 12
enjoyed	NotreDame_De_Paris.txt 6, Miserables.txt 6
enjoying	Miserables.txt 3
enjoyment	NotreDame_De_Paris.txt 2, Miserables.txt 11
enjoyments	Miserables.txt 4
enjoys	Miserables.txt 2
enlarge	Miserables.txt 1
enlarged	Miserables.txt 5
enlargement	Miserables.txt 4
enlarges	Miserables.txt 1
enlarging	Miserables.txt 5
enlighten	NotreDame_De_Paris.txt 1, Miserables.txt 6
enlightened	NotreDame_De_Paris.txt 1, Miserables.txt 10
enlightening	Miserables.txt 3
enlightenment	Miserables.txt 8
enlightens	Miserables.txt 1
enlisted	Miserables.txt 2
enlists	Miserables.txt 1
enliven	NotreDame_De_Paris.txt 2
enlivened	NotreDame_De_Paris.txt 1, Miserables.txt 2
enlivens	Miserables.txt 1
enmeshing	NotreDame_De_Paris.txt 1
ennius	Miserables.txt 1
ennui	Miserables.txt 5
enormities	NotreDame_De_Paris.txt 4, Miserables.txt 2
enormity	NotreDame_De_Paris.txt 2, Miserables.txt 5
enormous	NotreDame_De_Paris.txt 37, Miserables.txt 83
enormously	Miserables.txt 2
enough	NotreDame_De_Paris.txt 29, Miserables.txt 92
enrage	Miserables.txt 1
enraged	NotreDame_De_Paris.txt 3, Miserables.txt 10
enraptured	NotreDame_De_Paris.txt 1, Miserables.txt 1
enrich	Miserables.txt 2
enriched	NotreDame_De_Paris.txt 2, Miserables.txt 6
enriching	Miserables.txt 1
enrichments	NotreDame_De_Paris.txt 2
enroll	NotreDame_De_Paris.txt 1
enrolling	Miserables.txt 1
ens	Miserables.txt 1
ensconce	Miserables.txt 1
ensconced	NotreDame_De_Paris.txt 1, Miserables.txt 1
ensemble	NotreDame_De_Paris.txt 1, Miserables.txt 2
ensenas	Miserables.txt 1
enshrined	NotreDame_De_Paris.txt 1
enshrouded	NotreDame_De_Paris.txt 1
ensigns	Miserables.txt 1
ensnared	Miserables.txt 1
ensorcela	Miserables.txt 1
ensued	NotreDame_De_Paris.txt 7, Miserables.txt 31
ensuing	Miserables.txt 1
ensuring	NotreDame_De_Paris.txt 1, Miserables.txt 1
entablature	NotreDame_De_Paris.txt 1, Miserables.txt 1
entablatures	NotreDame_De_Paris.txt 1
entail	Miserables.txt 1
entailed	Miserables.txt 3
entails	Miserables.txt 3
entangle	NotreDame_De_Paris.txt 1, Miserables.txt 1
entangled	NotreDame_De_Paris.txt 8, Miserables.txt 13
entanglement	Miserables.txt 2
entangles	Miserables.txt 1
entangling	NotreDame_De_Paris.txt 1, Miserables.txt 2
entendais	Miserables.txt 1
enter	NotreDame_De_Paris.txt 36, Miserables.txt 128
entered	NotreDame_De_Paris.txt 30, Miserables.txt 270
entering	NotreDame_De_Paris.txt 9, Miserables.txt 76
enterprise	NotreDame_De_Paris.txt 2, Miserables.txt 4
enterprises	NotreDame_De_Paris.txt 1
enterprising	NotreDame_De_Paris.txt 1
enters	NotreDame_De_Paris.txt 4, Miserables.txt 21
entertain	NotreDame_De_Paris.txt 1, Miserables.txt 3
entertained	Miserables.txt 10
entertaining	Miserables.txt 2
entertainment	NotreDame_De_Paris.txt 1
enthusiasm	NotreDame_De_Paris.txt 8, Miserables.txt 24
enthusiasms	Miserables.txt 3
enthusiastic	NotreDame_De_Paris.txt 2, Miserables.txt 16
enthusiastically	NotreDame_De_Paris.txt 1
enthusiasts	Miserables.txt 1
enticed	Miserables.txt 1
entichamber	Miserables.txt 1
enticing	Miserables.txt 2
entire	NotreDame_De_Paris.txt 29, Miserables.txt 42
entirely	NotreDame_De_Paris.txt 14, Miserables.txt 46
entirety	NotreDame_De_Paris.txt 1, Miserables.txt 3
entitle	Miserables.txt 1
entitled	Miserables.txt 11
entity	NotreDame_De_Paris.txt 4, Miserables.txt 3
entr	NotreDame_De_Paris.txt 1, Miserables.txt 1
entrail	Miserables.txt 1
entrails	NotreDame_De_Paris.txt 1, Miserables.txt 5
entrain	Miserables.txt 1
entrance	NotreDame_De_Paris.txt 28, Miserables.txt 61
entrances	NotreDame_De_Paris.txt 2, Miserables.txt 5
entrave	Miserables.txt 1
entre	Miserables.txt 1
entreat	NotreDame_De_Paris.txt 6, Miserables.txt 7
