flickering	Miserables.txt 4, NotreDame_De_Paris.txt 3
flickerings	Miserables.txt 2
flies	Miserables.txt 13, NotreDame_De_Paris.txt 7
flight	Miserables.txt 63, NotreDame_De_Paris.txt 16
flights	Miserables.txt 2
flinch	Miserables.txt 3
flinched	Miserables.txt 2
flinching	Miserables.txt 3
fling	Miserables.txt 14, NotreDame_De_Paris.txt 13
flinging	NotreDame_De_Paris.txt 5, Miserables.txt 5
flings	Miserables.txt 15
flint	Miserables.txt 1
flints	Miserables.txt 1
flippant	Miserables.txt 1
flit	Miserables.txt 2, NotreDame_De_Paris.txt 1
flits	Miserables.txt 1
flitted	NotreDame_De_Paris.txt 3, Miserables.txt 2
flitting	Miserables.txt 2
float	Miserables.txt 6, NotreDame_De_Paris.txt 2
